a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = 9909.735098; b = 5218279.765539; cout = 8376774358367.442383
a = 9911.167281; b = 5228144.275688; cout = 8388981335740.287109
a = 9912.599464; b = 5238008.785838; cout = 8401383668155.451172
a = 9914.031647; b = 5247873.295987; cout = 8413981355612.935547
a = 9915.463830; b = 5257737.806137; cout = 8426774398112.732422
a = 9916.896013; b = 5267602.316286; cout = 8439762795654.849609
a = 9918.328196; b = 5277466.826435; cout = 8452946548239.286133
a = 9919.760379; b = 5287331.336585; cout = 8466325655866.037109
a = 9921.192562; b = 5297195.846734; cout = 8479900118535.109375
a = 9922.624745; b = 5307060.356883; cout = 8493669936246.497070
a = 9924.056928; b = 5316924.867033; cout = 8507635109000.206055
a = 9925.489111; b = 5326789.377182; cout = 8521795636796.230469
a = 9926.921294; b = 5336653.887331; cout = 8536151519634.574219
a = 9928.353477; b = 5346518.397481; cout = 8550702757515.234375
a = 9929.785659; b = 5356382.907630; cout = 8565449350438.208984
a = 9931.217842; b = 5366247.417780; cout = 8580391298403.509766
a = 9932.650025; b = 5376111.927929; cout = 8595528601411.124023
a = 9934.082208; b = 5385976.438078; cout = 8610861259461.055664
a = 9935.514391; b = 5395840.948228; cout = 8626389272553.302734
a = 9936.946574; b = 5405705.458377; cout = 8642112640687.873047
a = 9938.378757; b = 5415569.968526; cout = 8658031363864.758789
a = 9939.810940; b = 5425434.478676; cout = 8674145442083.962891
a = 9941.243123; b = 5435298.988825; cout = 8690454875345.484375
a = 9942.675306; b = 5445163.498975; cout = 8706959663649.323242
a = 9944.107489; b = 5455028.009124; cout = 8723659806995.483398
a = 9945.539672; b = 5464892.519273; cout = 8740555305383.957031
a = 9946.971855; b = 5474757.029423; cout = 8757646158814.750977
a = 9948.404038; b = 5484621.539572; cout = 8774932367287.859375
a = 9949.836221; b = 5494486.049721; cout = 8792413930803.290039
a = 9951.268404; b = 5504350.559871; cout = 8810090849361.037109
a = 9952.700587; b = 5514215.070020; cout = 8827963122961.101562
a = 9954.132770; b = 5524079.580170; cout = 8846030751603.484375
a = 9955.564953; b = 5533944.090319; cout = 8864293735288.191406
a = 9956.997136; b = 5543808.600468; cout = 8882752074015.207031
a = 9958.429319; b = 5553673.110618; cout = 8901405767784.541016
a = 9959.861502; b = 5563537.620767; cout = 8920254816596.197266
a = 9961.293685; b = 5573402.130916; cout = 8939299220450.167969
a = 9962.725868; b = 5583266.641066; cout = 8958538979346.455078
a = 9964.158051; b = 5593131.151215; cout = 8977974093285.066406
a = 9965.590234; b = 5602995.661364; cout = 8997604562265.992188
a = 9967.022417; b = 5612860.171514; cout = 9017430386289.236328
a = 9968.454600; b = 5622724.681663; cout = 9037451565354.798828
a = 9969.886783; b = 5632589.191813; cout = 9057668099462.677734
a = 9971.318966; b = 5642453.701962; cout = 9078079988612.876953
a = 9972.751149; b = 5652318.212111; cout = 9098687232805.394531
a = 9974.183332; b = 5662182.722261; cout = 9119489832040.226562
a = 9975.615515; b = 5672047.232410; cout = 9140487786317.371094
a = 9977.047698; b = 5681911.742559; cout = 9161681095636.843750
a = 9978.479881; b = 5691776.252709; cout = 9183069759998.630859
a = 9979.912064; b = 5701640.762858; cout = 9204653779402.738281
a = 9981.344247; b = 5711505.273008; cout = 9226433153849.162109
a = 9982.776430; b = 5721369.783157; cout = 9248407883337.902344
a = 9984.208613; b = 5731234.293306; cout = 9270577967868.960938
a = 9985.640796; b = 5741098.803456; cout = 9292943407442.333984
a = 9987.072979; b = 5750963.313605; cout = 9315504202058.031250
a = 9988.505162; b = 5760827.823754; cout = 9338260351716.044922
a = 9989.937345; b = 5770692.333904; cout = 9361211856416.373047
a = 9991.369528; b = 5780556.844053; cout = 9384358716159.025391
a = 9992.801711; b = 5790421.354203; cout = 9407700930943.988281
a = 9994.233894; b = 5800285.864352; cout = 9431238500771.275391
a = 9995.666077; b = 5810150.374501; cout = 9454971425640.873047
a = 9997.098260; b = 5820014.884651; cout = 9478899705552.791016
a = 9998.530443; b = 5829879.394800; cout = 9503023340507.033203
a = 9999.962625; b = 5839743.904949; cout = 9527342330503.589844
a = 10001.394808; b = 5849608.415099; cout = 9551856675542.464844
a = 10002.826991; b = 5859472.925248; cout = 9576566375623.652344
a = 10004.259174; b = 5869337.435397; cout = 9601471430747.164062
a = 10005.691357; b = 5879201.945547; cout = 9626571840912.992188
a = 10007.123540; b = 5889066.455696; cout = 9651867606121.134766
a = 19502.986498; b = 3156598.576504; cout = 9637419029966.615234
a = 19504.418681; b = 3166463.086653; cout = 9611633266199.925781
a = 19505.850864; b = 3176327.596802; cout = 9586042857475.552734
a = 19507.283047; b = 3186192.106952; cout = 9560647803793.494141
a = 19508.715230; b = 3196056.617101; cout = 9535448105153.757812
a = 19510.147413; b = 3205921.127250; cout = 9510443761556.337891
a = 19511.579596; b = 3215785.637400; cout = 9485634773001.238281
a = 19513.011779; b = 3225650.147549; cout = 9461021139488.455078
a = 19514.443962; b = 3235514.657699; cout = 9436602861017.988281
a = 19515.876145; b = 3245379.167848; cout = 9412379937589.837891
a = 19517.308328; b = 3255243.677997; cout = 9388352369204.007812
a = 19518.740511; b = 3265108.188147; cout = 9364520155860.498047
a = 19520.172694; b = 3274972.698296; cout = 9340883297559.304688
a = 19521.604877; b = 3284837.208445; cout = 9317441794300.427734
a = 19523.037060; b = 3294701.718595; cout = 9294195646083.871094
a = 19524.469243; b = 3304566.228744; cout = 9271144852909.626953
a = 19525.901426; b = 3314430.738894; cout = 9248289414777.707031
a = 19527.333609; b = 3324295.249043; cout = 9225629331688.103516
a = 19528.765792; b = 3334159.759192; cout = 9203164603640.814453
a = 19530.197975; b = 3344024.269342; cout = 9180895230635.847656
a = 19531.630158; b = 3353888.779491; cout = 9158821212673.193359
a = 19533.062341; b = 3363753.289640; cout = 9136942549752.861328
a = 19534.494524; b = 3373617.799790; cout = 9115259241874.845703
a = 19535.926707; b = 3383482.309939; cout = 9093771289039.152344
a = 19537.358890; b = 3393346.820088; cout = 9072478691245.775391
a = 19538.791073; b = 3403211.330238; cout = 9051381448494.710938
a = 19540.223256; b = 3413075.840387; cout = 9030479560785.970703
a = 19541.655439; b = 3422940.350537; cout = 9009773028119.541016
a = 19543.087622; b = 3432804.860686; cout = 8989261850495.435547
a = 19544.519805; b = 3442669.370835; cout = 8968946027913.648438
a = 19545.951988; b = 3452533.880985; cout = 8948825560374.177734
a = 19547.384171; b = 3462398.391134; cout = 8928900447877.021484
a = 19548.816354; b = 3472262.901283; cout = 8909170690422.183594
a = 19550.248537; b = 3482127.411433; cout = 8889636288009.666016
a = 19551.680720; b = 3491991.921582; cout = 8870297240639.464844
a = 19553.112903; b = 3501856.431732; cout = 8851153548311.587891
a = 19554.545086; b = 3511720.941881; cout = 8832205211026.021484
a = 19555.977269; b = 3521585.452030; cout = 8813452228782.773438
a = 19557.409452; b = 3531449.962180; cout = 8794894601581.847656
a = 19558.841635; b = 3541314.472329; cout = 8776532329423.236328
a = 19560.273818; b = 3551178.982478; cout = 8758365412306.944336
a = 19561.706001; b = 3561043.492628; cout = 8740393850232.967773
a = 19563.138184; b = 3570908.002777; cout = 8722617643201.312500
a = 19564.570367; b = 3580772.512927; cout = 8705036791211.975586
a = 19566.002550; b = 3590637.023076; cout = 8687651294264.955078
a = 19567.434733; b = 3600501.533225; cout = 8670461152360.252930
a = 19568.866916; b = 3610366.043375; cout = 8653466365497.866211
a = 19570.299098; b = 3620230.553524; cout = 8636666933677.798828
a = 19571.731281; b = 3630095.063673; cout = 8620062856900.052734
a = 19573.163464; b = 3639959.573823; cout = 8603654135164.621094
a = 19574.595647; b = 3649824.083972; cout = 8587440768471.505859
a = 19576.027830; b = 3659688.594121; cout = 8571422756820.714844
a = 19577.460013; b = 3669553.104271; cout = 8555600100212.234375
a = 19578.892196; b = 3679417.614420; cout = 8539972798646.076172
a = 19580.324379; b = 3689282.124570; cout = 8524540852122.235352
a = 19581.756562; b = 3699146.634719; cout = 8509304260640.708984
a = 19583.188745; b = 3709011.144868; cout = 8494263024201.503906
a = 19584.620928; b = 3718875.655018; cout = 8479417142804.616211
a = 19586.053111; b = 3728740.165167; cout = 8464766616450.046875
a = 19587.485294; b = 3738604.675316; cout = 8450311445137.794922
a = 19588.917477; b = 3748469.185466; cout = 8436051628867.861328
a = 19590.349660; b = 3758333.695615; cout = 8421987167640.245117
a = 19591.781843; b = 3768198.205765; cout = 8408118061454.948242
a = 19593.214026; b = 3778062.715914; cout = 8394444310311.966797
a = 19594.646209; b = 3787927.226063; cout = 8380965914211.306641
a = 19596.078392; b = 3797791.736213; cout = 8367682873152.959961
a = 19597.510575; b = 3807656.246362; cout = 8354595187136.937500
a = 19598.942758; b = 3817520.756511; cout = 8341702856163.224609
a = 19600.374941; b = 3827385.266661; cout = 8329005880231.837891
a = 19601.807124; b = 3837249.776810; cout = 8316504259342.762695
a = 19603.239307; b = 3847114.286960; cout = 8304197993496.005859
a = 19604.671490; b = 3856978.797109; cout = 8292087082691.572266
a = 19606.103673; b = 3866843.307258; cout = 8280171526929.452148
a = 19607.535856; b = 3876707.817408; cout = 8268451326209.651367
a = 19608.968039; b = 3886572.327557; cout = 8256926480532.169922
a = 19610.400222; b = 3896436.837706; cout = 8245596989897.003906
a = 19611.832405; b = 3906301.347856; cout = 8234462854304.155273
a = 19613.264588; b = 3916165.858005; cout = 8223524073753.625977
a = 19614.696771; b = 3926030.368155; cout = 8212780648245.416992
a = 19616.128954; b = 3935894.878304; cout = 8202232577779.519531
a = 19617.561137; b = 3945759.388453; cout = 8191879862355.948242
a = 19618.993320; b = 3955623.898603; cout = 8181722501974.685547
a = 19620.425503; b = 3965488.408752; cout = 8171760496635.747070
a = 19621.857686; b = 3975352.918901; cout = 8161993846339.126953
a = 19623.289869; b = 3985217.429051; cout = 8152422551084.823242
a = 19624.722052; b = 3995081.939200; cout = 8143046610872.838867
a = 19626.154235; b = 4004946.449349; cout = 8133866025703.168945
a = 19627.586418; b = 4014810.959499; cout = 8124880795575.819336
a = 19629.018601; b = 4024675.469648; cout = 8116090920490.786133
a = 19630.450784; b = 4034539.979798; cout = 8107496400448.073242
a = 19631.882967; b = 4044404.489947; cout = 8099097235447.676758
a = 19633.315150; b = 4054269.000096; cout = 8090893425489.595703
a = 19634.747333; b = 4064133.510246; cout = 8082884970573.833984
a = 19636.179516; b = 4073998.020395; cout = 8075071870700.394531
a = 19637.611699; b = 4083862.530544; cout = 8067454125869.269531
a = 19639.043881; b = 4093727.040694; cout = 8060031736080.459961
a = 19640.476064; b = 4103591.550843; cout = 8052804701333.974609
a = 19641.908247; b = 4113456.060993; cout = 8045773021629.803711
a = 19643.340430; b = 4123320.571142; cout = 8038936696967.950195
a = 19644.772613; b = 4133185.081291; cout = 8032295727348.418945
a = 19646.204796; b = 4143049.591441; cout = 8025850112771.199219
a = 19647.636979; b = 4152914.101590; cout = 8019599853236.300781
a = 19649.069162; b = 4162778.611739; cout = 8013544948743.716797
a = 19650.501345; b = 4172643.121889; cout = 8007685399293.456055
a = 19651.933528; b = 4182507.632038; cout = 8002021204885.510742
a = 19653.365711; b = 4192372.142188; cout = 7996552365519.880859
a = 19654.797894; b = 4202236.652337; cout = 7991278881196.569336
a = 19656.230077; b = 4212101.162486; cout = 7986200751915.581055
a = 19657.662260; b = 4221965.672636; cout = 7981317977676.907227
a = 19659.094443; b = 4231830.182785; cout = 7976630558480.551758
a = 19660.526626; b = 4241694.692934; cout = 7972138494326.513672
a = 19661.958809; b = 4251559.203084; cout = 7967841785214.794922
a = 19663.390992; b = 4261423.713233; cout = 7963740431145.391602
a = 19664.823175; b = 4271288.223382; cout = 7959834432118.309570
a = 19666.255358; b = 4281152.733532; cout = 7956123788133.541016
a = 19667.687541; b = 4291017.243681; cout = 7952608499191.092773
a = 19669.119724; b = 4300881.753831; cout = 7949288565290.961914
a = 19670.551907; b = 4310746.263980; cout = 7946163986433.151367
a = 19671.984090; b = 4320610.774129; cout = 7943234762617.656250
a = 19673.416273; b = 4330475.284279; cout = 7940500893844.481445
a = 19674.848456; b = 4340339.794428; cout = 7937962380113.620117
a = 19676.280639; b = 4350204.304577; cout = 7935619221425.079102
a = 19677.712822; b = 4360068.814727; cout = 7933471417778.856445
a = 19679.145005; b = 4369933.324876; cout = 7931518969174.953125
a = 19680.577188; b = 4379797.835026; cout = 7929761875613.364258
a = 19682.009371; b = 4389662.345175; cout = 7928200137094.095703
a = 19683.441554; b = 4399526.855324; cout = 7926833753617.143555
a = 19684.873737; b = 4409391.365474; cout = 7925662725182.508789
a = 19686.305920; b = 4419255.875623; cout = 7924687051790.196289
a = 19687.738103; b = 4429120.385772; cout = 7923906733440.196289
a = 19689.170286; b = 4438984.895922; cout = 7923321770132.517578
a = 19690.602469; b = 4448849.406071; cout = 7922932161867.156250
a = 19692.034652; b = 4458713.916221; cout = 7922737908644.112305
a = 19693.466835; b = 4468578.426370; cout = 7922739010463.381836
a = 19694.899018; b = 4478442.936519; cout = 7922935467324.980469
a = 19696.331201; b = 4488307.446669; cout = 7923327279228.887695
a = 19697.763384; b = 4498171.956818; cout = 7923914446175.114258
a = 19699.195567; b = 4508036.466967; cout = 7924696968163.659180
a = 19700.627750; b = 4517900.977117; cout = 7925674845194.521484
a = 19702.059933; b = 4527765.487266; cout = 7926848077267.705078
a = 19703.492116; b = 4537629.997415; cout = 7928216664383.205078
a = 19704.924299; b = 4547494.507565; cout = 7929780606541.020508
a = 19706.356482; b = 4557359.017714; cout = 7931539903741.158203
a = 19707.788665; b = 4567223.527864; cout = 7933494555983.607422
a = 19709.220847; b = 4577088.038013; cout = 7935644563268.381836
a = 19710.653030; b = 4586952.548162; cout = 7937989925595.466797
a = 19712.085213; b = 4596817.058312; cout = 7940530642964.876953
a = 19713.517396; b = 4606681.568461; cout = 7943266715376.602539
a = 19714.949579; b = 4616546.078610; cout = 7946198142830.642578
a = 19716.381762; b = 4626410.588760; cout = 7949324925327.000977
a = 19717.813945; b = 4636275.098909; cout = 7952647062865.683594
a = 19719.246128; b = 4646139.609059; cout = 7956164555446.677734
a = 19720.678311; b = 4656004.119208; cout = 7959877403069.991211
a = 19722.110494; b = 4665868.629357; cout = 7963785605735.624023
a = 19723.542677; b = 4675733.139507; cout = 7967889163443.573242
a = 19724.974860; b = 4685597.649656; cout = 7972188076193.841797
a = 19726.407043; b = 4695462.159805; cout = 7976682343986.427734
a = 19727.839226; b = 4705326.669955; cout = 7981371966821.330078
a = 19729.271409; b = 4715191.180104; cout = 7986256944698.553711
a = 19730.703592; b = 4725055.690254; cout = 7991337277618.091797
a = 19732.135775; b = 4734920.200403; cout = 7996612965579.948242
a = 19733.567958; b = 4744784.710552; cout = 8002084008584.121094
a = 19735.000141; b = 4754649.220702; cout = 8007750406630.618164
a = 19736.432324; b = 4764513.730851; cout = 8013612159719.430664
a = 19737.864507; b = 4774378.241000; cout = 8019669267850.559570
a = 19739.296690; b = 4784242.751150; cout = 8025921731024.005859
a = 19740.728873; b = 4794107.261299; cout = 8032369549239.769531
a = 19742.161056; b = 4803971.771448; cout = 8039012722497.852539
a = 19743.593239; b = 4813836.281598; cout = 8045851250798.252930
a = 19745.025422; b = 4823700.791747; cout = 8052885134140.971680
a = 19746.457605; b = 4833565.301897; cout = 8060114372526.006836
a = 19747.889788; b = 4843429.812046; cout = 8067538965953.361328
a = 19749.321971; b = 4853294.322195; cout = 8075158914423.031250
a = 19750.754154; b = 4863158.832345; cout = 8082974217935.022461
a = 19752.186337; b = 4873023.342494; cout = 8090984876489.332031
a = 19753.618520; b = 4882887.852643; cout = 8099190890085.956055
a = 19755.050703; b = 4892752.362793; cout = 8107592258724.902344
a = 19756.482886; b = 4902616.872942; cout = 8116188982406.162109
a = 19757.915069; b = 4912481.383092; cout = 8124981061129.737305
a = 19759.347252; b = 4922345.893241; cout = 8133968494895.640625
a = 19760.779435; b = 4932210.403390; cout = 8143151283703.852539
